21109,50,15,63,9
19178,45,12,63,9
18441,44,12,57,8
17833,47,11,62,6
16695,44,10,63,4
16122,45,8,59,4
14975,42,8,58,4
13733,43,9,60,4
12044,40,10,57,2
10860,41,9,56,2
11095,39,7,59,2
10694,39,6,54,1
9671,36,6,54,1
9024,36,7,57,1
7913,36,6,60,1
6946,34,5,51,1
6744,33,5,53,1
5850,31,4,48,1
5913,30,4,50,1
5232,30,4,48,1
5116,30,4,45,1
4870,28,4,43,0
4626,27,4,42,1
4605,26,4,47,0
4753,28,3,44,0
4750,27,4,41,0
5173,28,4,44,1
5648,31,5,47,0
5963,33,6,54,0
5970,34,7,58,1
7062,36,10,53,1
7704,39,13,60,1
7626,38,15,50,1
10049,42,19,51,2
10715,43,18,51,2
11584,45,18,49,1
11164,43,16,47,2
12423,46,14,56,2
12676,51,13,51,2
13484,54,12,55,3
12158,52,10,56,2
14617,48,11,57,3
14986,50,10,55,2
15396,54,10,62,2
14839,59,10,75,4
15679,61,12,76,5
15654,59,11,67,4
15517,53,10,57,4
15661,57,10,60,4
18143,55,10,63,4
18944,55,10,63,4
21774,57,11,61,8
24681,62,14,63,10
26423,57,15,63,12
28468,57,16,63,14
30481,58,16,64,17
24894,54,14,62,14
21940,51,12,64,11
19603,48,11,60,9
16769,47,10,62,8
16261,44,9,60,7
15437,42,10,60,5
13836,41,8,58,5
11870,41,7,57,3
10707,39,7,61,2
9798,40,6,58,2
8787,39,10,57,2
7997,38,7,56,1
7201,38,5,54,1
6768,33,4,52,1
6024,34,4,49,1
5686,32,4,49,1
5118,30,4,45,0
5078,29,4,45,1
5044,28,3,44,1
4925,28,4,39,0
4596,28,4,43,1
4868,26,4,40,0
5265,28,5,44,0
6260,31,5,50,1
6504,37,6,56,0
6623,44,8,56,1
7639,40,10,55,1
8229,41,12,58,2
8505,43,15,57,1
10864,43,18,53,2
10997,43,17,52,1
11926,42,16,50,2
12648,45,16,51,2
13790,45,14,57,1
14258,47,12,58,2
15160,52,11,58,2
14208,53,10,66,2
16605,55,11,66,3
16961,53,11,60,3
18463,57,11,64,3
21565,65,13,71,6
24900,75,17,80,8
24178,70,19,72,9
24897,63,17,65,10
28781,64,18,61,11
31265,61,18,63,12
36517,63,21,69,16
42890,65,24,71,22
41035,64,25,66,21
40124,63,21,64,19
30183,56,17,62,13
28060,55,16,65,12
25484,52,14,62,12
27354,53,13,66,12
24342,51,13,60,11
19677,49,11,65,7
15548,47,10,65,6
13006,46,8,62,4
11924,45,7,60,3
10762,43,6,61,2
10202,44,6,67,1
9809,45,6,67,1
8564,45,5,59,1
7756,40,5,60,1
7510,39,5,56,1
6636,38,5,52,1
6240,37,5,52,0
5596,36,4,49,1
5326,32,4,49,0
4961,32,4,50,0
4747,33,4,45,1
4879,33,4,44,0
4899,32,4,44,1
4915,34,5,44,0
5230,31,5,50,0
6653,35,6,52,1
7133,36,7,56,1
7072,41,8,59,1
8304,41,11,61,1
8563,43,13,59,2
9079,45,16,58,2
12839,44,18,56,2
13267,45,18,53,2
14319,46,18,54,3
15832,50,17,58,3
17069,54,16,62,3
19057,54,15,62,3
21892,64,15,69,4
19816,63,13,68,4
23752,66,15,76,4
24955,62,18,68,7
31502,66,21,76,12
42782,79,28,83,25
45255,92,37,100,31
47269,90,42,92,35
56761,83,62,76,52
63036,76,79,76,64
77326,76,92,77,79
85985,75,100,79,100
87825,76,82,84,82
76210,71,73,73,74
53025,68,44,69,42
36064,59,29,69,27
29133,58,20,66,18
25938,55,18,70,14
23805,57,15,71,11
20693,52,15,72,12
19074,52,12,64,8
16664,48,11,65,6
14869,47,10,66,5
14552,46,8,63,3
13291,46,8,62,3
11619,45,7,60,2
11066,43,6,60,1
10646,45,6,65,1
9608,45,6,63,1
8693,42,5,61,1
7573,40,5,56,0
7373,38,5,55,1
6947,38,4,57,1
6258,34,4,54,1
6501,33,5,50,1
5786,33,4,47,1
5497,31,4,47,1
5612,33,5,47,0
5861,33,5,53,1
6537,35,5,53,0
7323,35,6,53,1
8111,39,7,57,1
9530,42,11,58,1
10065,44,13,61,1
11189,44,15,62,2
11767,51,19,61,2
17975,47,24,56,2
18652,47,24,55,2
19948,50,29,57,3
21634,53,25,60,4
23169,54,23,64,2
24085,57,19,67,2
24419,60,18,71,4
24635,64,15,70,5
29096,67,17,73,4
28377,67,16,70,4
33113,68,17,69,6
38260,74,20,86,11
44012,86,25,94,13
42135,81,25,90,13
38815,76,25,73,12
41199,69,21,67,14
46241,64,23,74,19
55264,66,26,70,21
69732,70,31,70,29
70056,68,29,74,28
66461,68,29,74,28
58802,68,27,72,27
55431,65,25,68,24
53177,67,23,71,25
45668,67,20,69,20
37948,64,17,73,16
32941,58,14,67,11
27854,55,12,67,8
23147,55,10,67,5
20610,52,9,64,5
18864,53,9,66,3
17107,52,7,65,2
16459,52,7,69,3
15763,54,7,74,2
14776,46,6,66,1
13451,46,5,60,1
12106,42,5,56,1
10695,43,5,56,1
10027,40,5,56,1
8722,37,5,53,1
8425,35,5,54,1
8116,34,4,47,1
7787,37,4,49,1
7884,35,4,44,1
8060,35,5,49,1
8994,36,5,54,1
10103,38,6,50,1
11904,39,7,58,1
13188,42,8,58,1
14843,44,12,59,2
16001,49,16,63,2
17453,48,20,59,2
21916,52,24,56,2
22954,52,29,57,3
24886,53,26,55,3
27419,57,25,57,4
28910,60,21,60,4
34586,67,22,69,5
37732,67,21,69,6
44161,72,23,70,9
44044,74,18,71,8
48904,72,21,71,9
56444,74,23,69,12
71594,81,29,79,20
95757,98,39,99,34
88731,100,38,97,30
75614,83,37,75,27
79783,74,38,66,31
90150,76,43,72,33
108307,80,62,83,43
111361,78,55,82,48
95418,80,47,79,44
